WARD,month,permits
16,2014-10,1
16,2014-11,2
16,2015-06,1
16,2015-07,1
16,2015-08,1
16,2015-09,1
16,2015-10,1
16,2015-12,1
16,2016-01,1
16,2016-02,3
16,2016-03,1
16,2016-04,1
16,2016-05,1
16,2016-09,1
16,2016-12,1
16,2017-01,1
16,2017-02,1
16,2017-03,1
16,2017-06,2
16,2017-07,1
16,2017-09,1
16,2017-11,1
16,2018-02,1
16,2018-05,3
16,2018-07,1
16,2018-09,1
16,2018-11,1
16,2018-12,1
16,2019-07,1
16,2019-09,2
16,2019-10,16
16,2019-12,1
16,2020-01,1
16,2020-02,1
16,2020-06,4
16,2020-07,1
16,2020-10,1
17,2008-09,2
17,2008-11,1
17,2008-12,1
17,2009-02,2
17,2009-08,1
17,2009-12,1
17,2010-02,1
17,2010-08,1
17,2011-03,1
17,2011-08,2
17,2012-02,1
17,2012-07,1
17,2012-09,1
17,2012-11,1
17,2013-07,1
17,2013-08,2
17,2014-04,1
17,2014-07,1
17,2015-02,1
17,2015-04,1
17,2015-07,1
17,2015-08,1
17,2015-09,2
17,2015-10,1
17,2016-02,1
17,2016-05,1
17,2016-08,5
17,2016-09,1
17,2016-10,1
17,2016-12,1
17,2017-02,1
17,2017-04,1
17,2017-06,1
17,2017-08,2
17,2018-06,2
17,2018-12,1
17,2019-03,1
17,2019-04,1
17,2019-05,1
17,2019-06,1
17,2020-11,1
18,2008-10,1
18,2008-11,1
18,2008-12,1
18,2009-03,1
18,2009-06,1
18,2009-09,1
18,2009-10,1
18,2010-02,1
18,2010-04,1
18,2010-05,3
18,2010-06,1
18,2010-07,1
18,2010-10,1
18,2011-02,1
18,2011-06,1
18,2011-07,1
18,2011-10,1
18,2012-03,1
18,2012-06,1
18,2012-08,1
18,2013-06,1
18,2013-07,1
18,2013-10,1
18,2014-07,1
18,2015-08,1
18,2016-02,1
18,2016-03,2
18,2016-05,2
18,2016-08,1
18,2017-02,1
18,2017-06,1
18,2018-01,1
18,2018-02,1
18,2018-04,1
18,2018-09,2
18,2018-10,2
18,2019-02,1
18,2019-03,1
18,2019-11,2
18,2020-04,1
18,2020-05,3
18,2020-06,2
18,2020-07,2
18,2021-04,1
19,2008-01,1
19,2008-02,1
19,2008-03,4
19,2008-04,1
19,2008-05,1
19,2008-06,1
19,2008-08,1
19,2008-09,1
19,2008-10,1
19,2008-11,2
19,2008-12,1
19,2009-04,1
19,2009-05,2
19,2009-07,2
19,2009-08,1
19,2009-09,2
19,2010-01,1
19,2010-03,3
19,2010-04,1
19,2010-05,1
19,2010-07,2
19,2010-11,1
19,2010-12,2
19,2011-01,1
19,2011-05,1
19,2011-06,1
19,2011-08,1
